gen	nevals	Avg   	Std    	Min	Max
0  	100   	240.16	10.4391	214	265
1  	58    	230.33	7.97378	211	249
2  	58    	223.39	7.48718	202	243
3  	48    	216.68	7.13285	202	234
4  	67    	211.47	7.28348	196	230
5  	62    	205.83	7.182  	193	229
6  	57    	200.72	5.73773	187	219
7  	58    	198.52	6.65805	178	220
8  	58    	196.15	7.2033 	178	219
9  	70    	192.45	8.08254	177	216
10 	65    	187.95	7.04752	173	208
11 	56    	183.4 	6.28331	172	206
12 	61    	180.66	6.36588	170	206
13 	58    	179.85	7.17269	170	201
14 	59    	178.19	7.32215	167	200
15 	74    	176.59	7.12333	165	197
16 	62    	172.86	6.24823	163	198
17 	61    	171.91	7.46069	158	198
18 	40    	169.09	7.10084	158	201
19 	56    	167.03	8.17124	156	194
20 	73    	164.54	8.37188	151	191
21 	54    	163.36	8.39586	151	193
22 	65    	161.56	8.67562	140	191
23 	77    	158.43	7.90222	141	183
24 	56    	155.27	8.24361	140	181
25 	44    	151.38	7.10039	140	175
26 	68    	152.09	11.4027	135	187
27 	69    	149.45	10.4225	135	178
28 	57    	145.44	8.81966	135	179
29 	66    	143.67	8.5347 	134	170
30 	58    	141.86	8.01626	134	166
31 	61    	141.19	9.0716 	133	173
32 	63    	140.7 	9.9965 	132	174
33 	59    	137.87	7.77516	132	166
34 	60    	137.65	8.92679	132	168
35 	63    	137.42	9.30396	131	167
36 	73    	137.27	9.25727	131	164
37 	53    	135.84	8.93613	129	174
38 	54    	134.37	7.47483	129	163
39 	57    	135.65	10.5512	126	169
40 	46    	134.2 	9.31128	126	169
41 	68    	135.47	10.9813	126	168
42 	49    	133.66	9.67907	126	161
43 	67    	131.05	8.3191 	124	162
44 	66    	130.13	8.8833 	124	157
45 	55    	130.55	10.0094	124	160
46 	50    	129.96	10.1202	122	165
47 	54    	129.89	10.4335	122	158
48 	69    	129.92	10.6185	121	162
49 	66    	128.99	10.225 	121	167
50 	56    	129.2 	10.5858	121	156
51 	59    	128   	11.0716	120	163
52 	66    	126.25	8.97594	118	154
53 	61    	127.03	10.4379	118	158
54 	55    	126.67	11.0608	117	157
55 	51    	125.48	11.2307	117	169
56 	50    	125.38	11.5998	117	157
57 	64    	123.84	10.8984	116	158
58 	59    	122.42	10.0749	116	158
59 	64    	123.94	11.1425	116	152
60 	61    	121.66	9.78286	115	155
61 	63    	121.57	10.5908	116	157
62 	62    	120.47	9.73186	115	154
63 	57    	121.67	10.776 	115	148
64 	63    	121.79	11.061 	115	152
65 	69    	120.91	10.9216	115	158
66 	63    	121.32	10.4105	113	149
67 	62    	118.53	8.28668	112	148
68 	52    	120.65	10.754 	113	150
69 	69    	118.14	8.37618	111	147
70 	62    	119.74	11.1827	111	152
71 	52    	117.11	9.91756	110	150
72 	50    	117.22	11.3574	110	154
73 	54    	115   	9.72934	109	152
74 	58    	115.36	10.0613	109	147
75 	65    	115.64	11.2299	109	150
76 	60    	115.31	10.6515	109	151
77 	70    	115.99	11.6966	108	147
78 	63    	113.57	10.9829	108	165
79 	52    	113.97	10.3532	108	146
80 	71    	114.63	11.2006	108	148
81 	67    	114.17	11.436 	108	152
82 	66    	114.77	12.2897	108	147
83 	68    	113.68	11.0507	108	148
84 	73    	113.79	11.0166	108	150
85 	62    	111.29	8.32261	108	144
86 	58    	114.02	11.6069	108	147
87 	63    	113.26	11.0477	108	147
88 	60    	113.39	11.5844	108	152
89 	62    	112.85	10.9767	108	148
90 	50    	113.06	10.3497	108	145
91 	63    	114.63	11.8234	108	144
92 	55    	113.3 	10.9485	108	149
93 	56    	113.84	11.3919	108	148
94 	67    	114.5 	11.3327	108	147
95 	61    	113.97	11.5728	108	150
96 	49    	113.92	11.9664	108	157
97 	69    	112.88	10.2316	108	145
98 	61    	113.38	11.1757	108	152
99 	63    	112.15	9.21995	108	145
100	62    	112.67	10.4518	108	149
